Data,Tipo,Legenda / Tema,Views (Plays),Alcance,Interações,Shares,Visitas Perfil,Likes,Comentários,Salvos,Link do Post,Status/Erro
2026-02-03,FEED,"Há 7 anos nascia minha primeira filha.
E com ela, eu também renascia.
Não do jeito que imaginei… mas do jeito que precisei.

Abaixo de uma grande nevasca, com o parto que eu tanto planejei desrespeitado, algo em mim se partiu.
Ali começava a maternidade real,cheia de amor, mas também de dor, silêncio e desconstrução.

Foram meses até compreender que eu precisava me reencontrar.
Separar a dor dela da minha. Me tornar mulher de novo. Me tornar mãe de verdade.
Não aquela ideal, mas a possível. A presente.

Hoje, sete anos depois, sou menos perfeita e mais inteira.
Sou menos idealizada e mais entregue.

E foi a maternidade que me salvou.
Como disse São João Paulo II:
“A mulher é salva, sobretudo, pela maternidade.”",1637,1637,187,0,28,169,11,7,https://www.instagram.com/p/DUTh85rjxpj/,OK
2026-01-30,REELS,"Tem coisas que a gente faz não porque pode e nem porque queria, de verdade.

A gente faz porque foi indo. Porque parecia o caminho óbvio. Porque ninguém parou pra ensinar a escolher. Porque faltou clareza. Direção. Pausa.

Quando a gente percebe, já está pensando em fazer mais do que precisava, mais do que poderia..parecendo que o amor se mede em o que é:  Mais bonito. Mais elaborado. Mais do que fazia sentido pra nós.

Isso não é  uma decisão consciente. É ausência dela.

E isso acontece em tantos lugares da vida…a gente vai sustentando coisas sem  nunca ter parado pra perguntar se aquilo ainda combina com a casa que estamos construindo.

Quando eu parei, ficou simples.

Minha filha não precisava de buffet. Nem de uma decoração elaborada. Ela precisava de nós.De presença.De entrega.

Mesa de pallet, lençol, comida de verdade. Não teve recreador. Teve pai, mãe, vó, irmãs. Gente presente. Riso solto. Tempo inteiro.

E algo se organizou por aqui.
Pode parecer que isso é sobre fazer diferente. Mas não é.
Às vezes a paz não vem de fazer diferente dos outros. Ela vem de fazer com consciência.Com clareza.

E foi ali, no que era simples,que tudo ganhou peso, sentido e permanência.
Não porque era pouco, mas porque era inteiro.

🤍",1288,1288,149,5,0,129,15,5,https://www.instagram.com/reel/DUKFx--jreO/,OK
2026-01-29,REELS,"A gente romantizou demais a rosae passou a odiar os espinhos.

E aí começa a dor.

Porque a vida real não vem separada.
O amor vem com entrega.
A maternidade vem com renúncia.
O casamento vem com  sacrifício .
A fé vem com desertos.

Santa Teresinha nunca falou de uma rosa sem espinhos.
Ela falou de aceitar a flor inteira.

O sofrimento de muitas mulheres hoje não está na vida que têm,mas na guerra constante contra ela.
Na expectativa de que tudo fique mais fácil antes de poder viver com leveza.

Mas a leveza não nasce quando a vida muda.
Ela nasce quando a gente para de brigar com a realidade
e assume o próprio papel.

Com perfume e com espinhos.
Com beleza e com dor.
Com o que é possível hoje.

Talvez o segredo não seja arrancar os espinhos,mas aprender a segurar a rosa do jeito certo.

Promete que enviará este reels para, ao menos, 1 mulher??",806,806,62,11,0,57,0,5,https://www.instagram.com/reel/DUGUxgJDohW/,OK
2026-01-28,REELS,"São Francisco de Sales dizia que dominar a si mesma é maior do que governar cidades. Talvez seja por isso que a comparação nos adoece tanto: porque ainda estamos tentando governar o mundo fora, sem antes ordenar o mundo dentro.

Mesmo sabendo que a vida do outro também tem falhas, por que seguimos nos sentindo insuficientes ao olhar para fora?

Talvez porque ainda não aprendemos a voltar pra dentro.

Porque nos falta o silêncio que filtra os ruídos.
Porque nos falta a coragem de construir limites internos.
Porque nos falta um caminho de retorno pra dentro de nós, da nossa casa interior.

E é exatamente isso que eu tenho testemunhado com o meu método terapêutico CASA.

Um processo que convida à ordem, à reconciliação com a própria história, e à construção de uma mulher inteira.
Uma mulher que, ao se encontrar, devolve à sua família o melhor de si e encontra prazer e leveza na vida que já tem. 

Me conta aqui: você também sente que tem se perdido de si?",111,111,1,0,0,1,0,0,https://www.instagram.com/reel/DUDqPh3DpLA/,OK
2026-01-28,FEED,"A gente precisa falar sobre isso. De verdade, se faz  urgente falarmos sobre isso. 

Fomos seduzidas por um alívio rápido.

Mulheres cansadas, sobrecarregadas, vivendo no automático.Tentando dar conta de tudo : casa, filhos, trabalho, casamento, emoções e, no meio disso tudo, se perdendo sem nem perceber.

Não é que falte tempo.
É que sobra dispersão.

O celular virou esse lugar de “descanso” possível
quando o cansaço já passou do limite e estar presente parece exigir mais do que a gente tem.

Só que esse alívio não descansa, não organiza …
Ele só anestesia.

E o preço aparece aos poucos: uma casa sempre bagunçada, relações rasas e uma mulher se sente a cada dia mais distante de si mesma.

É incômodo olhar para isso, eu sei! Também foi para mim. Mas é necessário. É preciso honestidade com a vida que a gente está levando.

Voltar pro centro não é deixar a vida fácil.
É criar espaço, ordem por dentro.
Clareza. Presença.
Mesmo no meio de uma vida agitada e de alta demanda. 

A gente pensa que a solução é sempre aquilo que não podemos alcançar. Ou seja, trabalhar menos ( talvez você possa), ter filhos crescidos ( mas eles tem menos de 3 anos) e a lista pode ser enorme…

A solução não é desejar uma vida que não podemos ter.. é trazer à consciência o que é esperado de nós na vida que já temos. 

Falei e sai correndo 🏃‍♀️ 
Doeu? Pega que é seu 😘",451,451,43,0,1,37,5,1,https://www.instagram.com/p/DUDnpuIjlvT/,OK
2026-01-27,REELS,"São Francisco de Sales dizia que dominar a si mesma é maior do que governar cidades. Talvez seja por isso que a comparação nos adoece tanto: porque ainda estamos tentando governar o mundo fora, sem antes ordenar o mundo dentro.

Mesmo sabendo que a vida do outro também tem falhas, por que seguimos nos sentindo insuficientes ao olhar para fora?

Talvez porque ainda não aprendemos a voltar pra dentro.

Porque nos falta o silêncio que filtra os ruídos.
Porque nos falta a coragem de construir limites internos.
Porque nos falta um caminho de retorno pra dentro de nós, da nossa casa interior.

E é exatamente isso que eu tenho testemunhado com o meu método terapêutico CASA.

Um processo que convida à ordem, à reconciliação com a própria história, e à construção de uma mulher inteira.
Uma mulher que, ao se encontrar, devolve à sua família o melhor de si e encontra prazer e leveza na vida que já tem. 

Me conta aqui: você também sente que tem se perdido de si?",1074,1074,97,5,0,84,10,3,https://www.instagram.com/reel/DUBY4dtjh1A/,OK
2026-01-25,REELS,"Hoje, entrando com as meninas na igreja, me lembrei de tudo que mudou e eu aprendi a encontrar leveza apesar dos desafios. 

A minha maternidade, a minha vida, a minha fé, mudou no dia em que eu entendi que ela , a fé, não pode ficar reservada só ao domingo.

Ela não é mais um dever.
Não é uma lista de coisas que eu preciso dar check.
Ela é o que me sustenta.
É o solo onde eu piso pra continuar inteira… mesmo quando tudo parece um caos.

Mas pra isso acontecer, eu precisei abrir espaço.
E abrir espaço pra fé não é seguir um roteiro.
Não é fazer o que todo mundo faz.
É transformar a minha vida, com tudo o que ela carrega, numa oração.

Minha maternidade, meu casamento, minha profissão…
o ordinário dos meus dias se tornou o meu elevador.

Assim como Santa Teresinha, eu também almejo um céu que me parece distante…Mas eu sei que não subo sozinha.
É Jesus quem me sustenta.
E é a Ele que eu me abandono, mesmo pequena.

Porque é isso: permanecer pequena…
e ainda assim confiar que posso ser erguida. 

Essa busca diária não é para mim tão sólida e constante.
Ela segue cheia de altos e baixos e, de verdade, acho que será para sempre assim…

Sou feita de fé e de dúvidas.
De dias em que rezo com fervor e de outros em que só consigo sussurrar “me ajuda”.
De momentos em que a presença de Deus me aquece e de outros em que só o silêncio me responde.

Mas sigo.
Sigo porque já entendi que constância não é ausência de falhas, é retorno, é recomeço.
É decisão de voltar sempre, mesmo quando o coração pesa ou a alma se cansa.

Se essa também é a sua caminhada, respira fundo.
A santidade não está na linha reta,mas na coragem de continuar mesmo quando tropeçamos.
E se a escada lhe parece íngrime demais, não esquece.. chame O elevador.",1185,1185,76,2,0,72,4,0,https://www.instagram.com/reel/DT8cHrdDwEz/,OK
2026-01-24,FEED,"Resolvi entrar na trend e… me surpreendi.

2016 foi mais intenso do que eu lembrava. Meu passaporte cheio de carimbos, muitas fotos bonitas, momentos marcantes e também desafios que só eu sei.

Mas a última foto foi a que mais me emocionou.

Foi em 2016 que eu decidi buscar a Deus de verdade. Que eu comecei uma vida de oração constante. Tenho até hoje o caderninho com páginas e páginas de diálogos com Ele.

Aquele ano teve suas belezas e dores, como todos os outros… mas olhando de hoje, o mais precioso não foram os lugares por onde passei, e sim o caminho que me trouxe até aqui.

Perceber que, apesar de ter vivido tanto… eu já não estou mais lá.
Estou aqui.
Exatamente onde devo estar ❤️",822,822,68,0,7,61,7,0,https://www.instagram.com/p/DT6W-6Wj4K6/,OK
2026-01-22,REELS,"No conto dos Sapatinhos Vermelhos  não é só o sapato que seduz.

É a **carruagem dourada**.

A promessa de uma vida mais bonita,mais admirada,

mais aceita.

E enquanto a menina corre atrás dessa vida que brilha,

a vida que é dela simples, viva, vai escapando entre os dedos.

O  perigo nem sempre está no excesso. Muitas vezes está na troca silenciosa . Na busca de trocar o próprio ritmo pela expectativa.

Trocar o corpo pela imagem cada vez mais distorcida

Trocar a presença pela promessa de “ um dia” 

Hoje, muitas mulheres não estão dançando com sapatinhos vermelhos.

Estão correndo atrás de carruagens douradas, vidas idealizadas, rotinas alheias, versões de si que nunca se constroem.

E, nesse caminho, vão deixando a própria vida passar.

Nem tudo que reluz sustenta.

Nem toda promessa é destino.

A pergunta que fica é simples  e profunda:

O que está escapando enquanto você busca uma vida que não é sua? 

Se você está correndo atrás de carruagens douradas buscando por leveza, talvez ela não esteja em outro vida e sim em aprender a habitar a que já é sua.

Se isso faz sentido para você, fique por aqui. 

@karinabotti",1704,1704,82,100,0,70,6,6,https://www.instagram.com/reel/DT0KElhjoZ5/,OK
2026-01-21,FEED,"Um livro e um café não foram feitos para serem consumidos com pressa.
Eles não pedem conclusão imediata. Pedem presença.

Este é um livro que escolhi para 2026.
São 654 páginas.
Para uma mãe de três, profissional, esposa, dona de casa… isso não é pouco. É muito.

Quando o vi, pensei: quero tanto lê-lo, mas são páginas demais.
Quase desisti antes mesmo de começar, porque ainda mora em mim a ideia de que todo livro precisa ter como objetivo ser concluído.

Até que me lembrei: um bom livro é como um bom café.
Ele precisa ser apreciado.

Leio, às vezes, um único parágrafo.
Entre um atendimento e outro.
Entre uma troca de fralda e outra.
Entre um espaço e outro da vida.

E, muitas vezes, era exatamente aquele parágrafo que eu precisava.

Buscar pausas conscientes, repertório e descanso é um desafio constante.
Queremos sempre um ponto de chegada… e acabamos desperdiçando o caminho.

Esse livro, em tão poucos parágrafos, já me ensinou tanto.
Já me descansou tanto.

E você?
O que tem olhado como uma grande montanha e desistido antes mesmo de dar o primeiro passo?

Entenda: você não precisa chegar ao destino final agora.
Também é preciso contemplar.
Saborear o percurso.

Talvez eu não conclua esse livro em 2026.
Mas sei que os pequenos parágrafos já lidos foram refrigério e descanso em meio ao caos.

Envie para alguém
que anda cansada de achar
que precisa chegar ao fim de tudo.",213,213,21,0,4,17,2,2,https://www.instagram.com/p/DTyzPGejp1Q/,OK
